n_layer1,n_layer2,n_layer3,batch_norm,drop_rate,train_rmse,eval_rmse,test_rmse,train_mape,eval_mape,test_mape
16,32,64,"(True, False)",0.5,1762.5169677734375,1745.3460693359375,1755.4632568359375,9.943516731262207,9.963547706604004,10.027209281921387
32,64,128,"(True, False)",0.5,1329.2330322265625,1364.23486328125,1381.452880859375,7.744884490966797,7.891883373260498,7.970818996429443
64,128,256,"(True, False)",0.5,1205.7872314453125,1223.4251708984375,1240.8115234375,6.845876216888428,7.003642559051514,7.08269739151001
128,256,512,"(True, False)",0.5,1152.7479248046875,1184.8570556640625,1192.1240234375,6.919496536254883,7.16668176651001,7.17802095413208
32,16,8,"(True, False)",0.5,2716.850830078125,2682.787353515625,2685.330322265625,17.89296531677246,17.900421142578125,17.937641143798828
64,32,16,"(True, False)",0.5,2115.041748046875,2087.57080078125,2100.594970703125,12.371918678283691,12.416922569274902,12.43062973022461
128,64,32,"(True, False)",0.5,1500.35302734375,1495.4959716796875,1508.549560546875,8.688187599182129,8.748417854309082,8.833763122558594
256,128,64,"(True, False)",0.5,1234.7119140625,1277.4141845703125,1265.9388427734375,7.3745622634887695,7.586963653564453,7.665018081665039
512,256,128,"(True, False)",0.5,1193.8560791015625,1230.5858154296875,1225.788818359375,6.755043983459473,7.00454044342041,7.064922332763672
8,16,8,"(True, False)",0.5,2580.086181640625,2563.1474609375,2561.725830078125,15.938982009887695,15.992460250854492,15.986348152160645
16,32,16,"(True, False)",0.5,1995.3211669921875,1964.3387451171875,1967.4520263671875,11.24158763885498,11.308032035827637,11.350397109985352
32,64,32,"(True, False)",0.5,1597.93310546875,1586.907958984375,1613.643798828125,9.078033447265625,9.165884971618652,9.209272384643555
64,128,64,"(True, False)",0.5,1325.7353515625,1336.4677734375,1338.324951171875,7.74424409866333,7.900506019592285,7.960600852966309
128,256,128,"(True, False)",0.5,1252.6927490234375,1280.5281982421875,1277.7232666015625,7.34597635269165,7.429243564605713,7.567460060119629
256,512,256,"(True, False)",0.5,1064.150390625,1104.57568359375,1123.13623046875,6.293768882751465,6.646727561950684,6.632201671600342
8,8,8,"(True, False)",0.5,3075.302001953125,3026.240478515625,3048.124755859375,20.459068298339844,20.35495948791504,20.479290008544922
16,16,16,"(True, False)",0.5,2194.7060546875,2166.152587890625,2176.618408203125,13.216901779174805,13.26476001739502,13.327881813049316
32,32,32,"(True, False)",0.5,1605.0203857421875,1595.7950439453125,1602.7115478515625,8.994786262512207,9.054659843444824,9.125862121582031
64,64,64,"(True, False)",0.5,1439.501708984375,1451.351318359375,1439.602783203125,8.578729629516602,8.722119331359863,8.72390365600586
128,128,128,"(True, False)",0.5,1199.9017333984375,1212.9857177734375,1239.70068359375,7.018576145172119,7.189891815185547,7.271825313568115
256,256,256,"(True, False)",0.5,1172.09326171875,1209.326904296875,1228.4144287109375,7.053167343139648,7.342127323150635,7.363065242767334
512,512,512,"(True, False)",0.5,1121.7547607421875,1175.4150390625,1182.119384765625,7.261581897735596,7.56553316116333,7.551235198974609
8,16,32,"(False, True)",0.5,3078.87744140625,3044.30029296875,3044.58447265625,16.266983032226562,16.264822006225586,16.37837791442871
16,32,64,"(False, True)",0.5,2886.002197265625,2868.39892578125,2864.207275390625,26.603227615356445,26.70738410949707,26.583314895629883
32,64,128,"(False, True)",0.5,1938.5909423828125,1948.4298095703125,1935.98974609375,10.65449047088623,10.729103088378906,10.754152297973633
64,128,256,"(False, True)",0.5,1399.425048828125,1423.1552734375,1447.36474609375,9.106525421142578,9.279827117919922,9.315278053283691
128,256,512,"(False, True)",0.5,1256.5303955078125,1274.404052734375,1288.3094482421875,8.273069381713867,8.362354278564453,8.506024360656738
32,16,8,"(False, True)",0.5,2961.8642578125,2934.796630859375,2940.849853515625,16.914400100708008,16.885400772094727,17.02029800415039
64,32,16,"(False, True)",0.5,1705.87451171875,1710.591552734375,1715.457275390625,9.811881065368652,9.902755737304688,9.983173370361328
128,64,32,"(False, True)",0.5,1588.544189453125,1580.8648681640625,1601.6358642578125,9.067368507385254,9.073540687561035,9.256813049316406
256,128,64,"(False, True)",0.5,1196.4293212890625,1213.5743408203125,1226.7940673828125,6.653519630432129,6.833337306976318,6.953295707702637
512,256,128,"(False, True)",0.5,2670.11572265625,2543.52197265625,2599.9658203125,7.851614475250244,7.967246055603027,8.066319465637207
8,16,8,"(False, True)",0.5,2327.805908203125,2279.02587890625,2289.89208984375,13.2899808883667,13.251535415649414,13.239720344543457
16,32,16,"(False, True)",0.5,2373.720947265625,2352.13525390625,2348.68212890625,18.624771118164062,18.78609848022461,18.596357345581055
32,64,32,"(False, True)",0.5,1709.3485107421875,1701.6099853515625,1692.0838623046875,9.785318374633789,9.829187393188477,9.880876541137695
64,128,64,"(False, True)",0.5,1742.0782470703125,1735.6314697265625,1745.23681640625,10.0313138961792,10.034534454345703,10.203968048095703
128,256,128,"(False, True)",0.5,1222.14306640625,1230.5479736328125,1260.0684814453125,7.127726078033447,7.253383636474609,7.378546237945557
