n_layer1,n_layer2,batch_norm,drop_rate,train_rmse,eval_rmse,test_rmse,train_mape,eval_mape,test_mape
32,64,False,0.2,1507.7471923828125,1488.9862060546875,1496.0804443359375,8.693696022033691,8.595213890075684,8.824666023254395
64,128,False,0.2,1231.148193359375,1251.6485595703125,1251.60302734375,7.037580490112305,7.100244045257568,7.259527206420898
128,256,False,0.2,1192.6649169921875,1215.0029296875,1224.3035888671875,6.894754886627197,7.061893939971924,7.173684597015381
256,512,False,0.2,1052.207763671875,1097.4840087890625,1118.5374755859375,6.300286293029785,6.615456581115723,6.729450225830078
8,8,False,0.2,2110.56591796875,2042.4775390625,2067.2431640625,11.94277572631836,11.694930076599121,11.919124603271484
16,16,False,0.2,1837.8182373046875,1798.1708984375,1805.75439453125,10.585294723510742,10.437604904174805,10.507637977600098
32,32,False,0.2,1697.3372802734375,1673.6478271484375,1676.596435546875,9.595974922180176,9.568839073181152,9.655516624450684
64,64,False,0.2,1330.95263671875,1341.83251953125,1345.014404296875,7.85783576965332,7.88438606262207,7.996610641479492
128,128,False,0.2,1156.258056640625,1166.346923828125,1182.861572265625,6.791910648345947,6.929903507232666,7.076015472412109
256,256,False,0.2,1122.104248046875,1152.170654296875,1158.7930908203125,6.415923595428467,6.647842884063721,6.75600004196167
512,512,False,0.2,999.002685546875,1042.36181640625,1064.1875,5.914795875549316,6.249405384063721,6.369301795959473
16,8,False,0.2,2101.642333984375,2037.4945068359375,2060.30810546875,11.792896270751953,11.601323127746582,11.784920692443848
32,16,False,0.2,1778.4488525390625,1734.94384765625,1753.7923583984375,10.258306503295898,10.104429244995117,10.252720832824707
64,32,False,0.2,1527.6929931640625,1515.7418212890625,1515.2528076171875,8.469083786010742,8.493809700012207,8.61050033569336
128,64,False,0.2,1302.552734375,1317.703857421875,1324.989501953125,7.4921159744262695,7.596795558929443,7.730802059173584
256,128,False,0.2,1197.2657470703125,1222.5767822265625,1233.8726806640625,7.1633124351501465,7.323153495788574,7.4533562660217285
512,256,False,0.2,1062.34912109375,1104.322021484375,1113.8514404296875,6.1752238273620605,6.441277027130127,6.559669494628906
8,16,True,0.3,1863.857177734375,1836.4598388671875,1831.84326171875,11.622264862060547,11.60408878326416,11.641342163085938
16,32,True,0.3,1450.8460693359375,1461.0513916015625,1459.98486328125,8.9369478225708,8.885899543762207,8.994585037231445
32,64,True,0.3,1403.52978515625,1429.7230224609375,1407.5345458984375,7.99552583694458,8.109554290771484,8.212091445922852
64,128,True,0.3,1348.25341796875,1398.8927001953125,1363.6781005859375,7.581943035125732,7.7057600021362305,7.768959045410156
128,256,True,0.3,1259.1702880859375,1318.8729248046875,1292.30029296875,6.902596473693848,7.097651481628418,7.181186676025391
256,512,True,0.3,1038.8819580078125,1079.1011962890625,1106.4718017578125,5.936439037322998,6.379373073577881,6.322042942047119
8,8,True,0.3,2527.60302734375,2481.818603515625,2514.1650390625,15.40438175201416,15.345366477966309,15.543797492980957
16,16,True,0.3,1529.53955078125,1511.07666015625,1522.4814453125,8.469767570495605,8.394474983215332,8.64585018157959
32,32,True,0.3,1431.7186279296875,1433.7064208984375,1414.360107421875,8.265917778015137,8.312960624694824,8.393062591552734
64,64,True,0.3,1383.1544189453125,1410.6256103515625,1365.6112060546875,7.655283451080322,7.766404151916504,7.779524803161621
128,128,True,0.3,1217.206787109375,1255.6427001953125,1230.7066650390625,6.702462673187256,6.894050121307373,7.008660793304443
256,256,True,0.3,1184.586669921875,1219.6441650390625,1205.53271484375,6.546593189239502,6.748517036437988,6.834334850311279
512,512,True,0.3,1075.6878662109375,1121.267578125,1122.71142578125,6.037147045135498,6.326786994934082,6.456342697143555
16,8,True,0.3,1967.8489990234375,1949.3536376953125,1961.9703369140625,11.311734199523926,11.41313648223877,11.38758373260498
32,16,True,0.3,1565.3697509765625,1545.3675537109375,1563.1014404296875,8.774701118469238,8.782926559448242,8.87660026550293
64,32,True,0.3,1364.401611328125,1380.69677734375,1372.225341796875,7.975510120391846,8.061426162719727,8.101414680480957
128,64,True,0.3,1295.365234375,1364.0455322265625,1374.19140625,7.279848575592041,7.4102606773376465,7.560047626495361
256,128,True,0.3,1375.2689208984375,1425.545654296875,1385.2158203125,7.399418354034424,7.4840593338012695,7.568681240081787
512,256,True,0.3,1172.6134033203125,1211.8345947265625,1285.14111328125,6.455903053283691,6.741132736206055,6.814481735229492
8,16,False,0.3,2184.615478515625,2113.21533203125,2140.581787109375,12.202831268310547,11.962837219238281,12.169538497924805
16,32,False,0.3,1843.703369140625,1800.913818359375,1813.4869384765625,10.622187614440918,10.473491668701172,10.640292167663574
32,64,False,0.3,1773.6583251953125,1732.36376953125,1746.744140625,10.315662384033203,10.150618553161621,10.316885948181152
64,128,False,0.3,1287.9471435546875,1320.2125244140625,1316.788818359375,7.751563549041748,7.814892768859863,7.932522296905518
128,256,False,0.3,1181.8326416015625,1217.19580078125,1211.020751953125,7.070130825042725,7.2187066078186035,7.312360763549805
256,512,False,0.3,1072.28515625,1105.117919921875,1118.6456298828125,6.141287803649902,6.378274917602539,6.471118927001953
8,8,False,0.3,2953.4248046875,2881.5625,2913.125732421875,17.08864402770996,16.88374900817871,17.172948837280273
16,16,False,0.3,2041.2874755859375,1975.6942138671875,1996.3497314453125,11.512199401855469,11.304845809936523,11.484058380126953
32,32,False,0.3,1806.822265625,1760.7005615234375,1778.0501708984375,10.294829368591309,10.127774238586426,10.283466339111328
64,64,False,0.3,1619.9808349609375,1602.932373046875,1607.7398681640625,9.21904182434082,9.19657039642334,9.305688858032227
128,128,False,0.3,1287.8326416015625,1298.138916015625,1301.8189697265625,7.424070358276367,7.515098571777344,7.627234935760498
256,256,False,0.3,1163.68701171875,1180.8011474609375,1195.9110107421875,6.6834917068481445,6.864587306976318,6.97084379196167
512,512,False,0.3,1069.95849609375,1109.4697265625,1116.724853515625,6.310849189758301,6.597083568572998,6.668384552001953
16,8,False,0.3,2324.11279296875,2258.35205078125,2282.077392578125,12.927177429199219,12.748868942260742,12.932107925415039
32,16,False,0.3,1943.947265625,1891.162109375,1910.9886474609375,11.101583480834961,10.942021369934082,11.08561897277832
